request_id,donor_id,notified_at,responded_at,status,response_time_minutes,distance_km,days_since_last_donation,temporal_hour,is_weekend,historical_response_rate
103,7279,2025-05-20 21:05:00,2025-05-20 22:31:00+00:00,accepted,86.0,4.14,229,21,0,0.1865
884,5921,2025-05-20 23:27:00,2025-05-21 00:47:00+00:00,accepted,80.0,7.78,236,23,0,0.5241
33,4677,2025-05-20 23:34:00,2025-05-21 00:37:00+00:00,declined,63.0,3.87,170,23,0,0.325
1808,8950,2025-05-21 00:20:00,2025-05-21 01:48:00+00:00,declined,88.0,14.75,76,0,0,0.2211
498,9301,2025-05-21 02:00:00,,ignored,,6.86,153,2,0,0.4119
1927,6644,2025-05-21 03:14:00,,ignored,,5.81,228,3,0,0.5265
273,9166,2025-05-21 03:16:00,,ignored,,17.21,279,3,0,0.6181
1434,1082,2025-05-21 04:36:00,,ignored,,7.58,261,4,0,0.0752
1802,9669,2025-05-21 05:00:00,,pending,,2.16,281,5,0,0.3021
1498,2966,2025-05-21 05:47:00,2025-05-21 07:41:00+00:00,declined,114.0,5.9,386,5,0,0.7036
1988,7076,2025-05-21 06:08:00,2025-05-21 07:55:00+00:00,accepted,107.0,9.01,197,6,0,0.1434
477,4155,2025-05-21 06:44:00,,ignored,,3.28,88,6,0,0.4928
1727,2827,2025-05-21 06:54:00,2025-05-21 08:20:00+00:00,accepted,86.0,8.01,228,6,0,0.5278
1366,823,2025-05-21 08:42:00,2025-05-21 11:41:00+00:00,declined,179.0,3.13,2,8,0,0.1766
255,8536,2025-05-21 09:21:00,2025-05-21 10:27:00+00:00,accepted,66.0,6.05,265,9,0,0.5414
828,2455,2025-05-21 10:45:00,2025-05-21 12:19:00+00:00,accepted,94.0,6.39,222,10,0,0.4859
454,746,2025-05-21 11:03:00,,ignored,,7.77,104,11,0,0.5359
389,8572,2025-05-21 13:41:00,,ignored,,7.65,233,13,0,0.3246
193,2568,2025-05-21 14:29:00,2025-05-21 15:13:00+00:00,declined,44.0,13.57,23,14,0,0.2074
1354,7227,2025-05-21 14:50:00,2025-05-21 16:13:00+00:00,declined,83.0,7.55,47,14,0,0.2701
1180,9843,2025-05-21 15:41:00,2025-05-21 17:09:00+00:00,accepted,88.0,1.57,165,15,0,0.4066
1479,5628,2025-05-21 17:43:00,2025-05-21 20:13:00+00:00,declined,150.0,2.42,78,17,0,0.4088
2198,4775,2025-05-21 17:50:00,2025-05-21 18:55:00+00:00,accepted,65.0,0.85,282,17,0,0.2945
1037,1996,2025-05-21 17:55:00,,ignored,,5.06,104,17,0,0.458
1632,6910,2025-05-21 18:51:00,2025-05-21 21:01:00+00:00,accepted,130.0,15.72,226,18,0,0.2756
749,2351,2025-05-21 18:55:00,2025-05-21 20:07:00+00:00,accepted,72.0,4.25,211,18,0,0.4985
263,5260,2025-05-21 18:57:00,,ignored,,1.92,192,18,0,0.4286
1101,5582,2025-05-21 19:00:00,2025-05-21 20:23:00+00:00,accepted,83.0,2.72,306,19,0,0.5508
1033,6826,2025-05-21 19:30:00,2025-05-21 20:44:00+00:00,accepted,74.0,3.45,139,19,0,0.5918
1337,1901,2025-05-21 20:06:00,2025-05-21 22:10:00+00:00,accepted,124.0,10.23,286,20,0,0.1584
348,3273,2025-05-21 21:03:00,2025-05-21 22:21:00+00:00,accepted,78.0,4.34,317,21,0,0.356
585,2382,2025-05-21 22:16:00,2025-05-21 23:59:00+00:00,accepted,103.0,11.29,276,22,0,0.282
133,5787,2025-05-21 22:43:00,2025-05-22 00:21:00+00:00,accepted,98.0,12.47,109,22,0,0.1831
316,132,2025-05-21 23:11:00,2025-05-22 01:56:00+00:00,declined,165.0,9.0,6,23,0,0.3699
539,8123,2025-05-21 23:18:00,2025-05-22 00:28:00+00:00,accepted,70.0,5.04,190,23,0,0.4548
572,2070,2025-05-21 23:46:00,2025-05-22 01:26:00+00:00,accepted,100.0,8.82,296,23,0,0.452
2035,8354,2025-05-21 23:53:00,2025-05-22 01:07:00+00:00,accepted,74.0,4.52,292,23,0,0.4954
1731,5400,2025-05-22 00:09:00,2025-05-22 01:50:00+00:00,declined,101.0,4.95,104,0,0,0.2298
1716,6528,2025-05-22 00:49:00,,ignored,,2.73,136,0,0,0.7698
1338,6947,2025-05-22 01:07:00,2025-05-22 03:07:00+00:00,declined,120.0,8.97,14,1,0,0.4582
1940,8059,2025-05-22 02:18:00,,pending,,16.27,199,2,0,0.3309
1207,5091,2025-05-22 04:03:00,2025-05-22 06:08:00+00:00,declined,125.0,3.52,79,4,0,0.1046
66,6476,2025-05-22 04:08:00,,ignored,,6.66,181,4,0,0.1093
1256,1608,2025-05-22 05:22:00,2025-05-22 07:21:00+00:00,declined,119.0,5.54,132,5,0,0.6414
1492,3176,2025-05-22 06:52:00,,pending,,2.79,113,6,0,0.7864
1244,2918,2025-05-22 09:49:00,2025-05-22 13:25:00+00:00,declined,216.0,19.02,155,9,0,0.2116
1318,722,2025-05-22 10:11:00,2025-05-22 13:00:00+00:00,declined,169.0,9.26,297,10,0,0.1909
305,119,2025-05-22 10:33:00,2025-05-22 12:29:00+00:00,declined,116.0,3.72,133,10,0,0.1826
2086,3065,2025-05-22 10:40:00,2025-05-22 14:02:00+00:00,declined,202.0,6.76,53,10,0,0.373
3,4993,2025-05-22 14:49:00,,pending,,3.75,240,14,0,0.5153
2060,346,2025-05-22 16:12:00,2025-05-22 17:20:00+00:00,accepted,68.0,5.33,179,16,0,0.35
1993,2680,2025-05-22 16:46:00,,ignored,,5.35,201,16,0,0.2082
1822,1606,2025-05-22 18:34:00,2025-05-22 19:56:00+00:00,accepted,82.0,7.6,318,18,0,0.6926
834,8595,2025-05-22 18:53:00,2025-05-22 20:21:00+00:00,accepted,88.0,6.58,287,18,0,0.5502
857,4206,2025-05-22 19:55:00,2025-05-22 22:32:00+00:00,declined,157.0,10.29,115,19,0,0.1681
1429,3333,2025-05-22 20:22:00,,ignored,,11.56,167,20,0,0.3839
47,6999,2025-05-22 20:39:00,2025-05-22 22:20:00+00:00,accepted,101.0,7.73,210,20,0,0.403
1479,8634,2025-05-22 22:24:00,2025-05-23 00:20:00+00:00,accepted,116.0,5.43,117,22,0,0.1208
1877,1674,2025-05-22 23:12:00,2025-05-23 00:22:00+00:00,declined,70.0,4.09,55,23,0,0.3964
2188,6467,2025-05-23 02:08:00,2025-05-23 04:12:00+00:00,declined,124.0,10.4,179,2,0,0.341
1826,3240,2025-05-23 03:14:00,,ignored,,15.65,193,3,0,0.1477
1702,491,2025-05-23 04:26:00,,ignored,,9.14,226,4,0,0.4998
1022,7221,2025-05-23 04:55:00,,pending,,3.12,244,4,0,0.1202
1015,220,2025-05-23 05:21:00,2025-05-23 06:21:00+00:00,declined,60.0,5.93,161,5,0,0.4529
1314,666,2025-05-23 05:49:00,,ignored,,3.26,212,5,0,0.3304
259,5148,2025-05-23 06:46:00,,ignored,,5.89,257,6,0,0.1288
776,1944,2025-05-23 06:59:00,,pending,,15.06,202,6,0,0.085
39,284,2025-05-23 07:24:00,,ignored,,8.74,64,7,0,0.1516
1262,2957,2025-05-23 07:31:00,2025-05-23 08:43:00+00:00,declined,72.0,6.32,69,7,0,0.4895
1036,2782,2025-05-23 08:06:00,,ignored,,2.58,106,8,0,0.3365
656,1659,2025-05-23 08:07:00,,ignored,,3.69,271,8,0,0.5101
58,7331,2025-05-23 08:09:00,2025-05-23 10:46:00+00:00,declined,157.0,6.84,256,8,0,0.3872
642,4825,2025-05-23 08:27:00,2025-05-23 09:20:00+00:00,accepted,53.0,1.94,183,8,0,0.8211
1165,2066,2025-05-23 12:01:00,,ignored,,6.19,284,12,0,0.1103
1556,2193,2025-05-23 13:22:00,,ignored,,3.73,244,13,0,0.1888
1446,5742,2025-05-23 13:37:00,,ignored,,12.58,86,13,0,0.4197
82,9904,2025-05-23 16:16:00,2025-05-23 17:44:00+00:00,accepted,88.0,5.55,217,16,0,0.2351
1365,5406,2025-05-23 16:33:00,,ignored,,2.41,312,16,0,0.1415
1272,9789,2025-05-23 16:57:00,2025-05-23 20:09:00+00:00,declined,192.0,3.0,55,16,0,0.2229
469,5604,2025-05-23 17:40:00,2025-05-23 18:56:00+00:00,accepted,76.0,10.62,98,17,0,0.5736
2117,5676,2025-05-23 18:56:00,2025-05-23 20:06:00+00:00,accepted,70.0,1.47,139,18,0,0.4175
900,9059,2025-05-23 19:12:00,,ignored,,4.76,152,19,0,0.2158
1945,4046,2025-05-23 19:17:00,,pending,,10.7,243,19,0,0.5659
296,3835,2025-05-23 21:59:00,,ignored,,6.66,154,21,0,0.2713
1999,7146,2025-05-23 23:27:00,2025-05-24 00:22:00+00:00,declined,55.0,3.15,102,23,0,0.1378
480,4964,2025-05-24 00:26:00,2025-05-24 03:15:00+00:00,declined,169.0,12.75,74,0,1,0.5539
245,6674,2025-05-24 01:15:00,,pending,,3.05,253,1,1,0.4485
1157,8815,2025-05-24 01:28:00,2025-05-24 03:10:00+00:00,accepted,102.0,3.1,249,1,1,0.0624
2025,5544,2025-05-24 01:50:00,2025-05-24 03:10:00+00:00,declined,80.0,3.39,97,1,1,0.1111
411,6233,2025-05-24 01:53:00,,ignored,,9.59,181,1,1,0.5459
1367,7826,2025-05-24 02:02:00,,ignored,,10.54,283,2,1,0.1564
1649,614,2025-05-24 02:05:00,,pending,,21.93,201,2,1,0.1032
2198,8887,2025-05-24 02:10:00,,ignored,,9.22,131,2,1,0.416
2049,1446,2025-05-24 02:27:00,2025-05-24 04:27:00+00:00,declined,120.0,1.39,86,2,1,0.4692
845,8994,2025-05-24 03:27:00,2025-05-24 06:11:00+00:00,declined,164.0,10.87,86,3,1,0.1085
727,5927,2025-05-24 05:32:00,,ignored,,4.54,303,5,1,0.5436
1006,1925,2025-05-24 07:13:00,2025-05-24 08:20:00+00:00,accepted,67.0,1.92,303,7,1,0.3173
725,7519,2025-05-24 11:16:00,,ignored,,2.22,129,11,1,0.3763
513,5088,2025-05-24 12:15:00,2025-05-24 12:51:00+00:00,declined,36.0,7.69,69,12,1,0.0177
1018,6996,2025-05-24 15:00:00,2025-05-24 15:59:00+00:00,declined,59.0,4.43,85,15,1,0.5027
991,1661,2025-05-24 16:01:00,2025-05-24 17:36:00+00:00,accepted,95.0,3.71,159,16,1,0.1663
980,7280,2025-05-24 18:12:00,2025-05-24 21:28:00+00:00,declined,196.0,5.25,9,18,1,0.3885
1522,6840,2025-05-24 21:28:00,2025-05-24 23:18:00+00:00,accepted,110.0,12.99,147,21,1,0.2879
1505,2890,2025-05-24 22:39:00,2025-05-24 23:45:00+00:00,accepted,66.0,7.73,231,22,1,0.4223
62,7928,2025-05-24 23:24:00,,ignored,,12.41,164,23,1,0.369
2078,7231,2025-05-25 01:45:00,2025-05-25 03:41:00+00:00,accepted,116.0,11.57,442,1,1,0.211
1441,2708,2025-05-25 02:22:00,2025-05-25 02:51:00+00:00,declined,29.0,4.17,281,2,1,0.3279
1659,2944,2025-05-25 06:02:00,2025-05-25 07:28:00+00:00,accepted,86.0,8.86,349,6,1,0.4564
765,5668,2025-05-25 06:35:00,2025-05-25 07:49:00+00:00,accepted,74.0,1.47,140,6,1,0.4952
832,5749,2025-05-25 07:01:00,,ignored,,3.69,307,7,1,0.4643
1621,3410,2025-05-25 08:59:00,2025-05-25 10:46:00+00:00,accepted,107.0,3.86,141,8,1,0.1963
1162,712,2025-05-25 09:23:00,,ignored,,4.03,79,9,1,0.361
1999,740,2025-05-25 11:00:00,2025-05-25 12:26:00+00:00,accepted,86.0,5.73,161,11,1,0.4868
1299,2692,2025-05-25 11:33:00,,ignored,,1.64,224,11,1,0.6191
1232,789,2025-05-25 13:43:00,2025-05-25 14:46:00+00:00,accepted,63.0,3.03,187,13,1,0.5542
1403,4113,2025-05-25 16:17:00,,ignored,,21.75,196,16,1,0.2521
2100,3908,2025-05-25 16:24:00,,pending,,9.35,161,16,1,0.2404
796,4617,2025-05-25 17:47:00,,ignored,,11.96,193,17,1,0.3387
1711,9193,2025-05-25 17:57:00,2025-05-25 19:22:00+00:00,accepted,85.0,2.43,371,17,1,0.3003
2152,8637,2025-05-25 18:16:00,,ignored,,4.35,128,18,1,0.0816
825,2825,2025-05-25 18:23:00,2025-05-25 19:40:00+00:00,accepted,77.0,4.59,166,18,1,0.55
1040,1138,2025-05-25 19:02:00,2025-05-25 20:49:00+00:00,declined,107.0,4.59,82,19,1,0.2105
1745,7415,2025-05-25 21:30:00,2025-05-25 22:59:00+00:00,accepted,89.0,5.03,151,21,1,0.2938
697,5311,2025-05-25 21:57:00,2025-05-26 00:56:00+00:00,declined,179.0,1.15,106,21,1,0.3509
536,8575,2025-05-26 00:49:00,2025-05-26 03:01:00+00:00,declined,132.0,13.71,188,0,0,0.435
1401,7109,2025-05-26 00:59:00,2025-05-26 02:39:00+00:00,accepted,100.0,3.13,237,0,0,0.0949
26,4053,2025-05-26 01:49:00,2025-05-26 03:51:00+00:00,declined,122.0,10.38,45,1,0,0.4919
30,7463,2025-05-26 03:52:00,2025-05-26 05:05:00+00:00,declined,73.0,18.78,65,3,0,0.5321
878,5194,2025-05-26 04:04:00,2025-05-26 05:23:00+00:00,accepted,79.0,2.46,178,4,0,0.1724
863,9760,2025-05-26 04:14:00,,ignored,,5.25,84,4,0,0.3011
111,4620,2025-05-26 06:09:00,2025-05-26 07:14:00+00:00,declined,65.0,6.75,35,6,0,0.3309
1897,2064,2025-05-26 07:31:00,2025-05-26 09:13:00+00:00,accepted,102.0,5.97,186,7,0,0.2503
2014,3245,2025-05-26 09:55:00,2025-05-26 11:28:00+00:00,accepted,93.0,11.05,258,9,0,0.5348
297,633,2025-05-26 11:19:00,2025-05-26 13:10:00+00:00,accepted,111.0,17.1,100,11,0,0.5758
1967,321,2025-05-26 12:26:00,2025-05-26 15:40:00+00:00,declined,194.0,5.87,17,12,0,0.5198
903,3130,2025-05-26 18:47:00,2025-05-26 20:02:00+00:00,declined,75.0,13.32,87,18,0,0.3208
1180,7075,2025-05-26 19:14:00,2025-05-26 21:31:00+00:00,accepted,137.0,13.94,104,19,0,0.0924
1883,8843,2025-05-26 22:59:00,2025-05-27 02:34:00+00:00,declined,215.0,11.45,346,22,0,0.4718
1985,696,2025-05-26 23:01:00,2025-05-26 23:45:00+00:00,declined,44.0,8.95,302,23,0,0.1983
572,7646,2025-05-26 23:25:00,2025-05-27 00:54:00+00:00,accepted,89.0,13.31,127,23,0,0.5333
250,1912,2025-05-27 00:37:00,2025-05-27 01:55:00+00:00,accepted,78.0,17.95,267,0,0,0.754
1065,1063,2025-05-27 01:23:00,,ignored,,10.96,119,1,0,0.1999
2096,5025,2025-05-27 04:06:00,,ignored,,10.61,213,4,0,0.3651
124,1034,2025-05-27 04:26:00,2025-05-27 07:24:00+00:00,declined,178.0,10.4,83,4,0,0.1295
922,684,2025-05-27 06:08:00,2025-05-27 09:32:00+00:00,declined,204.0,11.16,150,6,0,0.3747
943,7236,2025-05-27 07:33:00,2025-05-27 09:06:00+00:00,accepted,93.0,3.55,249,7,0,0.379
1412,6134,2025-05-27 08:21:00,,ignored,,12.9,213,8,0,0.5981
581,7352,2025-05-27 08:32:00,,ignored,,4.83,147,8,0,0.5006
34,915,2025-05-27 08:46:00,2025-05-27 11:07:00+00:00,declined,141.0,4.17,208,8,0,0.5129
1609,1297,2025-05-27 09:12:00,2025-05-27 10:13:00+00:00,declined,61.0,11.11,229,9,0,0.4497
1149,8264,2025-05-27 10:27:00,2025-05-27 11:39:00+00:00,accepted,72.0,5.17,246,10,0,0.2617
2049,7953,2025-05-27 11:54:00,,pending,,3.27,239,11,0,0.1116
725,2942,2025-05-27 11:58:00,2025-05-27 14:21:00+00:00,declined,143.0,5.42,313,11,0,0.4311
1187,2284,2025-05-27 12:38:00,2025-05-27 15:59:00+00:00,declined,201.0,14.52,69,12,0,0.4219
478,2532,2025-05-27 14:19:00,2025-05-27 15:40:00+00:00,declined,81.0,3.28,359,14,0,0.4483
1414,995,2025-05-27 15:05:00,,ignored,,2.51,251,15,0,0.3908
557,1225,2025-05-27 17:35:00,2025-05-27 19:15:00+00:00,declined,100.0,4.44,140,17,0,0.0699
637,184,2025-05-27 18:22:00,2025-05-27 19:08:00+00:00,accepted,46.0,0.41,134,18,0,0.601
1905,7800,2025-05-27 18:53:00,2025-05-27 19:46:00+00:00,accepted,53.0,6.79,283,18,0,0.7367
902,178,2025-05-27 19:06:00,2025-05-27 20:22:00+00:00,accepted,76.0,4.03,355,19,0,0.4232
467,3522,2025-05-27 21:30:00,2025-05-28 01:02:00+00:00,declined,212.0,12.64,88,21,0,0.7185
1135,2809,2025-05-27 21:47:00,2025-05-28 00:42:00+00:00,declined,175.0,6.53,97,21,0,0.6727
191,9569,2025-05-27 23:10:00,2025-05-28 02:21:00+00:00,declined,191.0,6.45,233,23,0,0.4106
840,9357,2025-05-28 03:57:00,,ignored,,11.93,121,3,0,0.503
1297,9893,2025-05-28 04:27:00,2025-05-28 07:03:00+00:00,declined,156.0,12.59,166,4,0,0.2934
1097,3805,2025-05-28 04:52:00,2025-05-28 07:15:00+00:00,declined,143.0,4.85,194,4,0,0.6844
200,3099,2025-05-28 06:27:00,,ignored,,4.5,47,6,0,0.3563
1040,9464,2025-05-28 11:01:00,2025-05-28 14:20:00+00:00,declined,199.0,4.64,42,11,0,0.2761
1621,6405,2025-05-28 13:14:00,,pending,,0.24,200,13,0,0.1531
1029,3277,2025-05-28 15:39:00,2025-05-28 18:42:00+00:00,declined,183.0,1.55,264,15,0,0.2992
847,8220,2025-05-28 16:19:00,,ignored,,6.03,233,16,0,0.1742
1108,183,2025-05-28 17:48:00,2025-05-28 19:21:00+00:00,accepted,93.0,2.31,220,17,0,0.2292
1073,3700,2025-05-28 17:59:00,2025-05-28 21:14:00+00:00,declined,195.0,5.13,18,17,0,0.12
1069,1426,2025-05-28 20:59:00,2025-05-28 23:13:00+00:00,declined,134.0,4.32,61,20,0,0.1371
739,2904,2025-05-28 21:53:00,2025-05-28 23:21:00+00:00,accepted,88.0,2.28,181,21,0,0.3979
1954,469,2025-05-28 21:58:00,2025-05-29 00:59:00+00:00,declined,181.0,3.58,32,21,0,0.6533
1246,4585,2025-05-28 22:45:00,2025-05-28 23:32:00+00:00,declined,47.0,1.63,180,22,0,0.2589
1156,5071,2025-05-28 23:20:00,2025-05-29 01:15:00+00:00,accepted,115.0,5.76,169,23,0,0.1066
410,1440,2025-05-28 23:47:00,2025-05-29 01:25:00+00:00,accepted,98.0,12.12,93,23,0,0.2634
173,6440,2025-05-28 23:51:00,,ignored,,4.18,196,23,0,0.2096
850,2055,2025-05-29 01:30:00,,ignored,,0.4,373,1,0,0.5426
1596,7349,2025-05-29 02:02:00,,ignored,,6.44,290,2,0,0.1254
676,7603,2025-05-29 03:34:00,2025-05-29 05:34:00+00:00,declined,120.0,4.29,57,3,0,0.3765
228,8949,2025-05-29 03:41:00,2025-05-29 04:46:00+00:00,declined,65.0,2.69,37,3,0,0.8478
340,5171,2025-05-29 04:01:00,,ignored,,5.83,302,4,0,0.4342
340,8078,2025-05-29 04:56:00,2025-05-29 06:44:00+00:00,declined,108.0,9.72,222,4,0,0.2684
898,4097,2025-05-29 06:41:00,,ignored,,5.71,97,6,0,0.4397
732,2473,2025-05-29 07:44:00,2025-05-29 11:04:00+00:00,declined,200.0,7.58,324,7,0,0.288
2095,7165,2025-05-29 08:02:00,,ignored,,7.68,175,8,0,0.2746
327,2029,2025-05-29 09:49:00,,pending,,16.99,205,9,0,0.0186
547,3004,2025-05-29 09:59:00,,pending,,1.84,158,9,0,0.5633
1829,6693,2025-05-29 10:23:00,2025-05-29 11:26:00+00:00,accepted,63.0,2.92,161,10,0,0.33
90,6925,2025-05-29 11:25:00,2025-05-29 12:35:00+00:00,declined,70.0,0.98,0,11,0,0.1845
286,8614,2025-05-29 11:36:00,2025-05-29 12:04:00+00:00,declined,28.0,4.38,33,11,0,0.4129
2003,8305,2025-05-29 11:48:00,2025-05-29 13:15:00+00:00,accepted,87.0,6.2,154,11,0,0.2182
1078,4159,2025-05-29 12:41:00,2025-05-29 15:27:00+00:00,declined,166.0,10.26,190,12,0,0.3171
667,2330,2025-05-29 14:05:00,,ignored,,8.01,241,14,0,0.0668
1504,8210,2025-05-29 14:32:00,2025-05-29 16:41:00+00:00,declined,129.0,8.05,326,14,0,0.5994
1473,4533,2025-05-29 15:17:00,,ignored,,9.63,244,15,0,0.3416
1870,5212,2025-05-29 15:50:00,2025-05-29 17:50:00+00:00,declined,120.0,1.32,180,15,0,0.0555
1723,1536,2025-05-29 15:53:00,2025-05-29 19:09:00+00:00,declined,196.0,0.86,157,15,0,0.2054
154,747,2025-05-29 17:00:00,2025-05-29 18:27:00+00:00,accepted,87.0,9.07,143,17,0,0.5131
279,7606,2025-05-29 20:43:00,2025-05-29 23:43:00+00:00,declined,180.0,4.54,126,20,0,0.2142
1107,8363,2025-05-29 23:06:00,2025-05-30 01:25:00+00:00,declined,139.0,4.86,19,23,0,0.445
1219,2279,2025-05-29 23:58:00,2025-05-30 01:11:00+00:00,accepted,73.0,3.87,115,23,0,0.7789
54,950,2025-05-30 00:36:00,2025-05-30 01:44:00+00:00,accepted,68.0,1.08,149,0,0,0.7359
1142,6401,2025-05-30 01:01:00,2025-05-30 02:31:00+00:00,accepted,90.0,2.12,178,1,0,0.1223
494,9961,2025-05-30 01:36:00,,ignored,,3.07,151,1,0,0.351
1823,652,2025-05-30 02:15:00,2025-05-30 03:57:00+00:00,declined,102.0,11.51,202,2,0,0.2814
1174,6627,2025-05-30 04:08:00,,ignored,,3.55,256,4,0,0.2669
2014,5692,2025-05-30 06:53:00,,pending,,17.38,105,6,0,0.3392
142,6476,2025-05-30 07:36:00,2025-05-30 08:38:00+00:00,accepted,62.0,1.3,191,7,0,0.368
1419,8756,2025-05-30 07:51:00,2025-05-30 08:55:00+00:00,accepted,64.0,1.3,258,7,0,0.2842
1276,6168,2025-05-30 08:24:00,2025-05-30 11:25:00+00:00,declined,181.0,6.79,113,8,0,0.2021
1774,2884,2025-05-30 10:58:00,,ignored,,1.67,179,10,0,0.6069
1209,4178,2025-05-30 12:13:00,,ignored,,8.02,194,12,0,0.2629
268,6434,2025-05-30 13:48:00,2025-05-30 14:40:00+00:00,accepted,52.0,2.56,103,13,0,0.4712
1444,336,2025-05-30 14:08:00,2025-05-30 15:53:00+00:00,declined,105.0,5.88,60,14,0,0.292
462,6525,2025-05-30 17:16:00,2025-05-30 18:31:00+00:00,accepted,75.0,2.91,143,17,0,0.3177
760,9899,2025-05-30 18:14:00,2025-05-30 19:05:00+00:00,accepted,51.0,2.42,160,18,0,0.5536
65,5141,2025-05-30 18:48:00,2025-05-30 20:10:00+00:00,accepted,82.0,6.1,229,18,0,0.5196
893,4502,2025-05-30 19:03:00,,pending,,7.26,104,19,0,0.4062
